DOEID,MONEYPY,HOUSEHOLDER_RACE,SCALEE,UATYP10,DIVISION,
100001,13,1,0,U,Mountain,
100002,6,1,0,U,West South Central,
100003,11,1,0,U,Mountain,
100004,10,1,0,U,South Atlantic,
100005,16,1,0,U,Middle Atlantic,
100006,15,1,3,U,West South Central, 
100007,11,1,2,U,West South Central,
100008,8,2,3,C,East South Central,
100009,14,1,0,U,South Atlantic,
100010,9,1,0,U,Mountain,
100011,12,1,0,U,Pacific,
100012,7,1,0,U,West South Central,
100013,13,1,0,U,West South Central,
100014,2,1,0,R,West North Central,
100015,11,1,0,R,New England,
100016,9,1,0,U,Pacific,
100017,16,1,0,R,New England,
100018,16,1,0,U,Mountain,
100019,9,6,3,U,West South Central,
100020,14,1,0,U,West South Central,
100021,2,2,0,U,East North Central,
100022,15,4,0,U,East North Central,
100023,16,1,0,R,New England,
100024,14,1,0,R,West North Central,
100025,1,1,3,R,East North Central,
100026,15,1,0,U,New England,
100027,16,1,0,U,West North Central,
100028,9,1,0,C,New England,
100029,9,1,0,C,South Atlantic,
100030,12,1,0,R,East North Central,
100031,15,1,0,U,New England,
100032,13,1,0,C,West North Central,
100033,13,1,0,U,Mountain,
100034,16,1,0,U,West North Central,
100035,11,1,0,U,New England,
100036,15,1,0,U,West South Central,
100037,14,1,0,U,East North Central,
100038,16,1,0,U,South Atlantic,
100039,12,1,0,C,Mountain,
100040,11,1,0,U,Middle Atlantic,
100041,16,1,0,U,West South Central,
100042,14,1,0,U,Pacific,
100043,9,1,0,C,Pacific,
100044,13,1,0,C,New England,
100045,15,1,0,U,East North Central,
100046,15,2,0,U,Pacific,
100047,14,2,0,U,South Atlantic,
100048,11,2,0,U,Middle Atlantic,
100049,9,2,0,U,South Atlantic,
100050,14,1,0,U,Mountain,
100051,15,1,0,U,East North Central,
100052,16,1,0,U,South Atlantic,
100053,15,1,0,U,South Atlantic,
100054,11,1,3,U,East North Central,
100055,15,1,0,U,Mountain,
100056,9,1,0,U,South Atlantic,
100057,14,1,0,U,Middle Atlantic,
100058,15,1,0,R,East North Central,
100059,5,2,1,C,East South Central,
100060,9,1,0,U,Mountain,
100061,2,4,3,U,Middle Atlantic,
100062,12,1,0,R,West North Central,
100063,15,1,0,U,Pacific,
100064,6,1,1,R,South Atlantic,
100065,1,1,2,R,South Atlantic,
100066,16,1,0,U,West South Central,
100067,13,1,0,U,New England,
100068,12,1,0,R,New England,
100069,12,1,0,R,East North Central,
100070,7,2,0,U,South Atlantic,
100071,10,3,2,U,West North Central,
100072,8,2,3,U,South Atlantic,
100073,10,1,0,U,Pacific,
100074,16,1,0,U,South Atlantic,
100075,11,2,3,U,West North Central,
100076,11,1,0,U,Middle Atlantic,
100077,13,1,3,U,South Atlantic,
100078,9,4,0,U,Mountain,
100079,10,1,0,U,New England,
100080,15,1,0,U,West South Central,
100081,4,1,0,U,West North Central,
100082,3,1,2,U,New England,
100083,11,1,0,U,East South Central,
100084,13,1,0,U,East North Central,
100085,14,1,0,U,East North Central,
100086,15,1,0,C,Pacific,
100087,3,1,0,R,East South Central,
100088,6,1,0,R,East North Central,
100089,9,6,0,R,New England,
100090,11,1,0,U,East South Central,
100091,13,1,2,U,East North Central,
100092,16,1,0,R,Mountain,
100093,14,1,0,U,New England,
100094,1,1,0,C,West South Central,
100095,7,1,0,C,South Atlantic,
100096,14,1,0,R,East North Central,
100097,16,1,0,U,South Atlantic,
100098,9,1,0,U,West South Central,
100099,7,1,0,U,Mountain,
