"Release date: October 2017
Revised date: May 2018",,,,,,,
"Table HC11.1  Household Energy Insecurity, 20151",,,,,,,
,Number of housing units (million),,,,,,
,,Households reporting…,,,,,
,Total U.S.2,Any household energy insecurity3,Reducing or forgoing food or medicine to pay energy costs,Leaving home at unhealthy temperature,Receiving disconnect or delivery stop notice,Unable to use heating equipment4,Unable to use cooling equipment5
All homes,118.2,37.0,25.3,12.8,17.2,6.1,6.9
Census region and division,,,,,,,
Northeast,21.0,6.2,4.0,2.5,2.7,1.4,0.6
New England,5.6,2.0,1.2,0.8,0.9,0.4,0.4
Middle Atlantic,15.4,4.1,2.8,1.7,1.8,1.0,0.2
Midwest,26.4,7.4,5.0,2.2,3.8,1.1,1.1
East North Central,18.1,5.5,3.7,1.7,2.7,0.8,0.8
West North Central,8.3,1.9,1.3,0.6,1.1,0.3,0.3
South,44.4,15.4,10.8,5.0,7.5,2.8,3.9
South Atlantic,23.5,7.6,5.1,2.2,3.4,1.5,1.9
East South Central,7.2,3.0,2.5,1.1,1.5,0.6,0.8
West South Central,13.8,4.8,3.3,1.7,2.5,0.6,1.2
West,26.4,8.1,5.5,3.1,3.2,0.8,1.3
Mountain,8.5,2.1,1.4,0.6,0.8,0.2,0.3
Mountain North,4.2,1.0,0.8,0.3,0.3,0.1,0.2
Mountain South,4.3,1.1,0.7,0.4,0.5,Q,0.2
Pacific,17.9,6.0,4.1,2.4,2.4,0.6,0.9
Census urban/rural classification6,,,,,,,
Urban,94.7,30.1,20.6,10.5,13.6,4.7,5.3
Urbanized area,82.2,25.9,17.6,9.0,11.9,3.8,4.3
Urban cluster,12.5,4.1,3.0,1.5,1.7,0.9,1.1
Rural,23.5,6.9,4.8,2.3,3.6,1.5,1.5
Metropolitan or micropolitan statistical area,,,,,,,
In metropolitan statistical area,98.5,29.9,20.5,10.2,13.8,4.5,5.1
In micropolitan statistical area,12.3,4.5,3.4,1.6,2.3,1.0,1.2
Not in metropolitan or micropolitan statistical area,7.4,2.5,1.4,0.9,1.1,0.6,0.5
Climate region7,,,,,,,
Very cold/Cold,42.5,12.4,8.8,4.2,5.7,2.3,1.7
Mixed-humid,33.5,10.5,7.0,3.4,5.4,2.0,2.0
Mixed-dry/Hot-dry,12.7,4.2,2.8,1.7,1.8,0.3,0.8
Hot-humid,22.8,8.0,5.4,2.8,3.7,1.3,2.1
Marine,6.7,1.9,1.3,0.7,0.7,0.2,0.2
Housing unit type,,,,,,,
Single-family detached,73.9,20.0,13.4,6.2,9.5,3.2,3.9
Single-family attached,7.0,2.4,1.6,1.0,1.1,0.4,0.4
Apartments in buildings with 2-4 units,9.4,4.3,3.1,1.7,1.9,0.8,0.5
Apartments in buildings with 5 or more units,21.1,6.5,4.5,2.4,2.6,0.6,0.9
Mobile homes,6.8,3.8,2.8,1.6,2.1,1.1,1.1
Year of construction,,,,,,,
Before 1950,20.8,7.6,5.3,2.9,3.7,1.5,0.9
1950 to 1959,12.6,4.3,2.9,1.4,2.0,0.7,0.8
1960 to 1969,12.8,4.3,2.9,1.4,2.1,0.6,0.9
1970 to 1979,18.3,6.3,4.2,2.3,2.6,1.1,1.0
1980 to 1989,16.0,4.9,3.3,1.9,2.0,0.8,1.2
1990 to 1999,16.8,4.5,3.1,1.5,2.1,1.0,1.2
2000 to 2009,17.0,4.3,2.9,1.3,2.2,0.4,0.8
2010 to 2015,3.8,1.0,0.8,0.2,0.5,0.1,0.1
Main space heating fuel,,,,,,,
Natural gas,57.7,16.4,11.2,5.1,8.0,2.5,2.8
Electricity,40.9,14.2,10.2,4.9,6.8,2.0,2.9
Fuel oil/kerosene,5.8,1.8,1.2,1.0,0.6,0.5,0.2
Propane,5.0,1.3,0.8,0.6,0.4,0.4,0.2
Wood,3.5,1.0,0.5,0.3,0.6,0.2,Q
Do not use heating equipment,5.1,2.2,1.4,0.9,0.7,0.5,0.6
Air-conditioning equipment,,,,,,,
Use air-conditioning equipment,102.8,30.7,21.2,10.3,14.6,4.8,5.8
Do not use air-conditioning equipment,15.4,6.3,4.1,2.5,2.6,1.4,1.1
Type of air-conditioning equipment used (more than one may apply),,,,,,,
Use central air-conditioning equipment,76.1,19.7,13.2,5.9,9.2,2.4,4.0
Use individual air-conditioning units,32.1,12.8,9.1,5.0,6.3,2.7,2.4
Do not use air-conditioning equipment,15.4,6.3,4.1,2.5,2.6,1.4,1.1
Adequacy of insulation,,,,,,,
Well insulated,37.5,8.6,5.8,2.3,3.7,1.1,1.4
Adequately insulated,57.9,17.2,11.3,5.2,7.7,2.6,3.0
Poorly insulated,20.9,10.2,7.6,4.6,5.5,2.3,2.3
No insulation,1.9,1.0,0.6,0.6,0.3,0.2,0.1
Type of glass in windows,,,,,,,
Single-pane glass,48.7,19.2,13.4,7.2,9.1,3.6,3.8
Double-pane glass,68.3,17.5,11.7,5.6,8.0,2.5,3.0
Triple-pane glass,1.2,0.3,0.2,Q,Q,Q,Q
Number of household members,,,,,,,
1 member,28.7,8.4,5.4,3.7,3.4,1.3,1.3
2 members,42.7,10.2,7.1,3.6,4.1,1.3,2.0
3 members,19.4,6.9,4.9,2.2,3.1,1.2,1.4
4 members,15.5,6.0,4.4,1.7,3.3,1.2,1.1
